Requirement,Component,True Label,Predicted Cluster
"the user should be able to see the price, location, accessibility, child friendliness, adult friendliness, among others, regarding each experience.",experience price user,1,0
"when the user presses an ’experience’, the app should display pictures and information about the ’experience’.",app experience pictures user,1,1
"the user should be able to register for a user-profile with the following methods: facebook, google or email and password.",methods user user profile,2,2
the user should be able to navigate between attractions from a map of copenhagen.,attractions copenhagen map user,3,3
the user should be able to view all experiences near them on a map of copenhagen.,copenhagen experiences map user,3,3
the user should be able to save an itinerary generated by creating a user-profile and adding it to their profile.,itinerary profile user user profile,4,2
"the user should be able to filter which experiences they can see on the map of copenhagen, based on the following labels: child friendly, romantic, popular, unique, local, active, culture, nature, historic.",copenhagen labels map user,3,3
"the user should be able to edit the itinerary, add their own experiences, and delete or move recommended experiences.",experiences itinerary user,4,2
the user should be able to access all services without a user profile.,services user user profile,2,2
"the user should be able to add their own experience, with location, perceived price range, pictures and text.",experience location user,5,2
the user should be able to create and save multiple itineraries to their user profile.,itineraries user user profile,4,2
the user should be able to access a overview of all their itineraries.,itineraries overview user,4,2
"when the user presses an experience, the app should display star ratings of the experience from other users, walking distance in km/miles, and time to walk to the experience from the present location.",app distance experience location miles star ratings user users,1,2
the user should be able to access a ’weather’ tab with information about the current weather conditions in copenhagen.,copenhagen information tab user weather conditions,6,4
"the user should be able to access general information about copenhagen, such as districts, historical facts about the district and what the district is known for among locals.",copenhagen district districts information locals user,7,3
"the user should be able to see reviews from other users about the different experiences, with text, pictures and star ratings of the experiences.",experiences reviews text user users,8,5
"the user should be able to post their reviews of the experiences in the app, with text, pictures and a star rating.",app experiences reviews text user,8,5
the user should be able to share an itinerary by using a generated link.,itinerary link user,4,2
"the user should be able to access information, such as delays and timetables for public transportation.",delays information transportation user,9,6
the user should be shown suggested routes to an experience with public transportation.,experience routes transportation user,9,2
